__label__1 , The European Union includes how many ?
__label__1 , What are skill pyysical fitness test ?
__label__2 , How many centemeters are in a kilometer ?
__label__2 , Name 5 uses for laser beams ?
__label__2 , How did lowering the temperature effect the enzyme ?
__label__1 , Toyota prius ?
__label__1 , How much money does a pediatricians earn per hour ?
__label__1 , 5 major cities of the state utah have ?
__label__2 , What channel is CBS in kentucky ?
__label__2 , What are the six objectives of elementary education ?
__label__1 , How many types of shark are they ?
__label__1 , What kind of lawer of there ?
__label__1 , What are Lotus Notes agents ?
__label__1 , Why was marks gospel finally written down ?
__label__1 , Why was the colony of pennsylvania founded for ?
__label__1 , The source of the suns heat is ?
__label__1 , What is stingrays scientific name ?
__label__2 , What is the salary of a professional fisherman ?
__label__1 , What are the possibilities for promotion as a veterinary surgeon ?
__label__2 , What are the two kinds of fiber ?
__label__2 , Why was tobacco farming important ?
__label__1 , Where do you get the hm that contains surf ?
__label__1 , The forms tones and contrasts of painting by using dots of primary color is called ?
__label__2 , What is the driving distance between New York NY and Buffalo NY ?
__label__1 , Miles from Los Angeles to bora bora ?
__label__2 , How many pictures can a 2 gb memory card hold in a 10.1 digital camera ?
__label__2 , How does the constition define treason ?
__label__1 , Statute of limitations in civil court for writing a bad check in florida ?
__label__1 , General formula of soda ?
__label__2 , What is the dutch and british east india company ?
__label__1 , Nitrogen and hydrogen make ?
__label__2 , How many charges does ammonia have ?
__label__2 , What is the salary of a cake baker ?
__label__1 , Name the shellfish ?
__label__2 , How many breeds of bit bulls are there ?
__label__1 , Where did sir farances drake die ?
__label__2 , What does the south rising have to do with lincolns assassination ?
__label__1 , What is michael jackson nephews and nieces names ?
__label__2 , Which dog is the fattest ?
__label__2 , How do you replace fuel pressure regulator on 2001 hyundai santa fe 2.4 l ?
__label__2 , What college should you go to for music business ?
__label__2 , Where can you get cocoa powder ?
__label__1 , What is the fuel tank capasity 0n a 2000 nissan d21 ?
__label__2 , Has same-sex marriage been legalized in Alabama ?
__label__1 , How many miles is it from new york atlanta ?
__label__1 , What are the difference menus of MS word ?
__label__2 , How do you change the struts on a 1999 toyota corolla ?
__label__1 , What is excretory organ ?
__label__1 , What is gaiaonlinecom ?
__label__1 , How many calories in one noncooked sweet potato ?
__label__1 , How much money does a 1960 five shilling coin ?
__label__1 , What did Pol Pot do aginst human rights ?
__label__1 , Pro and cons of genetic screening and counseling before marriage ?
__label__2 , What is the value of a 1940 penny with wheat on the back ?
__label__1 , When newspaper and magazine discovered ?
__label__1 , Orgin of texas history ?
__label__1 , How do you set-up email ?
__label__1 , What is the setting of Hitchcocks Notorious ?
__label__1 , Proscribing is A prohibiting B flattering ?
__label__1 , What causes blisters in mouth ?
__label__2 , Where is the o2 sensor on a 1999 audi a4 ?
__label__1 , Does kristen stewsrt smoke ?
__label__2 , Can any mammals lay eggs ?
__label__1 , The air in a laboratory was measured with a barometer to be 7.20100 mmHg What is the laboratory pressure ?
__label__1 , How did thomas edison invent te light bulb ?
__label__1 , What is the most popular hotels in vegas ?
__label__1 , How is the physical reaction ?
__label__1 , 2000 nisssan maxima firing order ?
__label__1 , How many sugar grams blackberry ?
__label__1 , Georgia statue of limitation drug charge ?
__label__2 , What is the most important food product of italy ?
__label__2 , How do you get the dragon that goes around the little dojo in moshi monsters ?
__label__2 , Where does the octopus ink come from ?
__label__1 , What is de msn addy of 50 cent ?
__label__1 , Whet are some interesting facts about lithium ?
__label__1 , Where is a brain hatin poptropica ?
__label__1 , How many units in half a pint ?
__label__2 , How can you substitute the zest of 1 lemon ?
__label__1 , Birth rate for boys in saudi arabia ?
__label__2 , What is 10 millimeters equivalent to in meters ?
__label__1 , List of departments in a 3 star hotel ?
__label__2 , Where can you find cute pictures of nick jonas ?
__label__1 , ` How long is Dusseldorf from Berlin by train ?
__label__1 , What are some good pranks on a six year old sis ?
__label__2 , How many gallons of fuel does a cruise ship use ?
__label__1 , How many naruto seasons have their been ?
__label__1 , Trasmission in space written by carl ?
__label__1 , Agriculture the government american industries and the population in general all worked together for what ?
__label__2 , What were the canoes that the inuits made ?
__label__2 , What are some important books of sikhism ?
__label__2 , What is the highest elevation in durban south africa ?
__label__2 , What is a normal pulse for girls ?
__label__1 , When was eiffel tower made ?
__label__2 , What is the function of hemoglobin pigment ?
__label__1 , Where is the elefent statue on poptropica ?
__label__2 , How could Primary succession happen ?
__label__1 , Is cup of coffee is homogeneous ?
__label__2 , Who invented the first battery celled clock ?
__label__1 , Who invented a Semiconductor diode ?
__label__1 , Roald Dahl where do you live ?
__label__1 , 4 climates of russia ?
__label__1 , Can you get manaphy on pokemon ranger 2 in the future of July 24 2009 ?
__label__1 , What is he order of the reactivity series ?
__label__1 , Membrane that lines the spinal cord ?
__label__2 , Who are all of abraham 's sons ?
__label__2 , What are French Linguistics ?
__label__2 , Can you use lemon juice instead of vinegar in chilli chicken ?
__label__2 , What are the diffirent myths in india ?
__label__1 , Mechanical Advantage in case of a Wedge ?
__label__1 , Belize country population ?
__label__2 , How many rings did Michael Jordan get ?
__label__2 , Is a bank teller test hard ?
__label__2 , Where is ac relay switch located on 2003 cadalliac escalade ?
__label__2 , Who did constantine battle ?
__label__1 , Where do you go in Hades in poptroica ?
__label__1 , The smallest type of computer ?
__label__1 , Who was a trusted adviser to King George you and King George ?
__label__1 , How many players are there on professional soccer team ?
__label__2 , What is the temperature in Russia ?
__label__2 , What is the function of DNA in all cells ?
__label__2 , What is the statute of limitations for being charged for traffic violation in virginia ?
__label__1 , 1998 nissan sentra radiator ?
__label__2 , What class are humans in taxonomy ?
__label__1 , Why you selected teenagers target market ?
__label__1 , Answer to question 24 in Pandora 's Box ?
__label__2 , What country did prince henry of battenberg explore ?
__label__1 , Where is brenda song parent 's from ?
__label__1 , Where didb jedaism start ?
__label__2 , Who were the major military leaders of the french revolution ?
__label__1 , You are a size 10 shoe and you just turned thirteen but you 'm 5 ' 2 ?
__label__1 , The winter olypics is swimming in it the winter olympics ?
__label__1 , What are the singhs that your dog is pregnent ?
__label__2 , Why was muhammad so impotant to islam ?
__label__1 , What are cortex ?
__label__1 , 38mm equals how man inches ?
__label__1 , What differs ionic and covalent bonds ?
__label__2 , How many cells does a large paramecium have ?
__label__1 , The dimensions of the great pyramid of cheops ?
__label__1 , 500 mg into grams ?
__label__1 , Tumor of spinal cord medical term ?
__label__1 , How many kilograms is in 140 lbs ?
__label__2 , How does an author show that the ants are dangerous ?
__label__2 , What terms describe fighting dreams ?
__label__1 , You heard zac and vanessa brake up ?
__label__2 , How many square feet is in half an acre ?
__label__1 , Bruse on your tongue ?
__label__1 , How you catch groundon in ranger ?
__label__1 , After 40hrs a week-overtime pay ?
__label__1 , The height of a door in m ?
__label__1 , Recipe for cinnamon popcorn balls ?
__label__1 , Where should you get a cheap formal dress ?
__label__1 , Do feild mouse rats eat wheat ?
__label__1 , Obstacles Francisco Coronado encountered on his voyage ?
__label__2 , How do oak tree and animal cells reproduce ?
__label__1 , Russia invade Gergia in 2008 ?
__label__2 , 473 ml is how many oz ?
__label__1 , What issouth america ?
__label__1 , What are singapores main citys ?
__label__1 , What is the value of a 1999 2000 British Five Pound coin ?
__label__2 , Where is the fuse for the AC on a 1999 Chevy Tracker ?
__label__2 , How much does a orthopaedic surgeon make in canada ?
__label__1 , When was selena started acting ?
__label__2 , What type of symmetry does a gastropod have ?
__label__2 , Where is the fuel filter located on a 2000 Mercury Grand Marquis ?
__label__2 , Why is data operations important ?
__label__2 , What is the similarity of a single cell and multi cell organism ?
__label__2 , Where is the computer module on a 2003 mercury sable ?
__label__2 , Where do sugar gliders live in the forests and woodlands ?
__label__1 , Thomas Jefferson was influienced by john locke ?
__label__2 , How many tomatoes are on a vine ?
__label__1 , What is the sugar gliders are endagered ?
